Real Madrid ,27,6,19,2,7.19,16,7,4,0
Barcelona ,22,7,14,1,7.17,10,10,2,0
Paris Saint Germain ,17,5,10,2,7.13,10,3,4,0
Chelsea ,13,2,7,4,7.09,10,1,2,0
Bayern Munich ,28,4,19,5,7.09,13,8,7,0
Atletico Madrid ,16,5,10,1,7.09,6,8,2,0
FC Porto ,9,2,7,0,6.98,4,1,4,0
Arsenal ,13,2,10,1,6.94,5,4,4,0
Bayer Leverkusen ,13,2,10,1,6.93,8,4,1,0
Juventus ,10,1,8,1,6.92,7,2,1,0
Manchester City ,16,2,12,2,6.92,9,6,1,0
Zenit St. Petersburg ,14,1,10,3,6.91,9,3,2,0
Benfica ,15,4,10,1,6.9,6,5,4,0
Wolfsburg ,14,3,11,0,6.9,10,2,2,0
PSV Eindhoven ,8,1,6,1,6.87,4,2,2,0
Sevilla ,8,2,5,1,6.78,6,0,2,0
Dynamo Kyiv ,9,2,6,1,6.76,5,3,1,0
Lyon ,5,0,5,0,6.76,2,2,1,0
Manchester United ,6,0,6,0,6.75,2,2,2,0
Gent ,10,2,7,1,6.74,5,2,3,0
Borussia M.Gladbach ,8,1,6,1,6.74,8,0,0,0
Galatasaray ,5,0,4,1,6.7,2,3,0,0
Roma ,11,2,6,3,6.69,6,4,1,0
CSKA Moscow ,5,1,4,0,6.69,3,1,1,0
Valencia ,4,1,1,2,6.68,4,0,0,0
FC Astana ,3,1,2,0,6.65,1,0,1,1
BATE Borisov ,5,1,3,1,6.61,1,2,2,0
Olympiacos ,5,1,3,1,6.6,2,3,0,0
Shakhtar Donetsk ,7,3,4,0,6.55,4,0,2,1
Dinamo Zagreb ,3,2,1,0,6.44,0,0,2,1
Maccabi Tel Aviv ,1,0,1,0,6.35,1,0,0,0
Malmoe FF ,1,0,1,0,6.22,1,0,0,0
